GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "00000","United States", ,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",13262079000,13493064000,13879129000,14406382000,14912509000,15338257000,15626029000,15604687000,15208834000,15598753000,15840664000,16197007000,16495369000,16912038000,17432170000,17730509000,18144105000,18687786000,19091662000
 "00000","United States", ,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.880,83.306,85.689,88.945,92.070,94.698,96.475,96.343,93.899,96.306,97.800,100.000,101.842,104.415,107.626,109.468,112.021,115.378,117.872
 "00000","United States", ,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",10581822000,10936418000,11458246000,12213730000,13036637000,13814609000,14451860000,14712845000,14448932000,14992052000,15542582000,16197007000,16784851000,17527258000,18238301000,18745075000,19542980000,20611861000,21433226000
 "01000","Alabama",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",157137932,161258050,165250533,175916841,181871047,185337029,186499445,185280596,178893378,183014476,185666914,186553871,188814180,187568050,189428816,191523406,193692995,198053707,200829359
 "01000","Alabama",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.232,86.440,88.581,94.298,97.490,99.348,99.971,99.317,95.894,98.103,99.525,100.000,101.212,100.544,101.541,102.664,103.827,106.164,107.652
 "01000","Alabama",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",123035307,128117443,133969348,146886707,156403303,164347837,170263853,172677248,169128512,175470140,181929880,186553871,192166511,195037686,200197466,204454687,210895743,221030697,228142616
 "01001","Autauga, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",943367,973575,987540,1136277,1140062,1224883,1240805,1117988,1152987,1222286,1323275,1487130,1416052,1412808,1529517,1581893,1494278,1537059,1501769
 "01001","Autauga, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",63.435,65.467,66.406,76.407,76.662,82.366,83.436,75.178,77.531,82.191,88.982,100.000,95.220,95.002,102.850,106.372,100.481,103.357,100.984
 "01001","Autauga, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",748918,781937,804299,946964,969849,1080320,1136583,1043678,1124580,1201882,1316842,1487130,1457702,1503623,1660498,1716235,1655670,1739294,1737286
 "01003","Baldwin, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3950240,4148592,4334484,4752933,5241386,5290492,5295745,4999447,4740175,4897798,4934067,5051126,5180403,5258587,5437402,5625966,5754579,6006401,6140514
