YEAR,household,persons,benefits,ben_hh,ben_pers
1980,7500447.00,21082012.00,8720870128,96.89,34.47
1981,8215412.00,22429574.00,10629866494,107.82,39.49
1982,7906747.00,21717398.00,10208297755,107.59,39.17
1983,7851018.00,21624639.00,11152312661,118.37,42.98
1984,7593927.00,20853632.00,10696130142,117.38,42.74
1985,7331142.00,19899052.00,10743554537,122.12,44.99
1986,7213148.00,19429102.00,10605196145,122.52,45.49
1987,7132443.00,19113129.00,10500343713,122.68,45.78
1988,7055594.00,18645291.00,11149051131,131.68,49.83
1989,7231080.00,18806463.00,11669779235,134.49,51.71
1990,7795796.00,20048978.00,14142791060,151.18,58.78
1991,8877435.00,22624627.00,17315772068,162.54,63.78
1992,10060308.00,25406985.00,20905682932,173.17,68.57
1993,10790246.00,26986775.00,22006031171,169.95,67.95
1994,11091217.00,27473696.00,22748576340,170.92,69
1995,10879367.00,26618773.00,22764066857,174.37,71.27
1996,10548913.00,25542531.00,22440108367,177.27,73.21
1997,9454705.00,22858137.00,19548862676,172.3,71.27
1998,8249658.00,19790985.00,16890487091,170.62,71.12
1999,7668481.00,18182538.00,15769396770,171.37,72.27
2000,7351316.00,17194334.00,14983318780,169.85,72.62
2001,7449156.00,17318458.00,15547389838,173.93,74.81
2002,8194746.00,19095637.00,18256204249,185.65,79.67
2003,9152912.00,21249626.00,21404276216,194.88,83.94
2004,10277379.00,23810742.00,24618889556,199.62,86.16
2005,11195797.00,25628456.00,28567876243,212.64,92.89
2006,11732776.00,26548833.00,30187346987,214.41,94.75
2007,11787765.00,26316045.00,30373271078,214.72,96.18
2008,12727450.00,28222630.00,34608397238,226.6,102.19
2009,15232115.00,33489975.00,50359918853,275.51,125.31
2010,18618436.00,40301878.00,64702164628,289.6,133.79
2011,21072113.00,44708726.00,71810924022,283.99,133.85
2012,22329713.00,46609072.00,74619344626,278.48,133.41
2013,23052396.00,47636090.00,76066318500,274.98,133.07
2014,22743911.00,46663616.00,69998835569,256.47,125.01
2015,22522261.00,45766672.00,69645138228,257.69,126.81
2016,21777938.00,44219363.00,66539351219,254.61,125.4
2017,20897709.00,42316550.00,63711050937,254.06,125.47
2018,20209268.00,40775728.00,60915551934,251.19,124.49
2019,17964076.00,35702472.00,55621882919,258.02,129.83
2020,20540708.00,39884537.00,74229548199,297.24,153.23
