"","GEOID","year","FRR_NAME","county","percf_acr","percf_op","diff"
"1","01001",2017,"Southern Seaboard","Autauga",21.01,23.41,-2.4
"2","01003",2017,"Southern Seaboard","Baldwin",19.96,32.38,-12.42
"3","01005",2017,"Southern Seaboard","Barbour",21.43,25.56,-4.13
"4","01007",2017,"Eastern Uplands","Bibb",12.57,24.49,-11.92
"5","01009",2017,"Eastern Uplands","Blount",21.74,26.55,-4.81
"6","01011",2017,"Southern Seaboard","Bullock",27.95,29.35,-1.4
"7","01013",2017,"Southern Seaboard","Butler",24.68,28.82,-4.14
"8","01015",2017,"Eastern Uplands","Calhoun",30.61,30.38,0.23
"9","01017",2017,"Southern Seaboard","Chambers",20.53,22.25,-1.72
"10","01019",2017,"Eastern Uplands","Cherokee",20.8,29.45,-8.65
"11","01021",2017,"Eastern Uplands","Chilton",15.69,24.64,-8.95
"12","01023",2017,"Southern Seaboard","Choctaw",43.58,26.2,17.38
"13","01025",2017,"Southern Seaboard","Clarke",24.96,24.33,0.630000000000003
"14","01027",2017,"Southern Seaboard","Clay",20.19,23.19,-3
"15","01029",2017,"Eastern Uplands","Cleburne",16.37,24.53,-8.16
"16","01031",2017,"Southern Seaboard","Coffee",18.63,27.62,-8.99
"17","01033",2017,"Southern Seaboard","Colbert",15.94,28.74,-12.8
"18","01035",2017,"Southern Seaboard","Conecuh",19.08,25.94,-6.86
"19","01037",2017,"Southern Seaboard","Coosa",28.57,30.04,-1.47
"20","01039",2017,"Southern Seaboard","Covington",24.43,28.3,-3.87
"21","01041",2017,"Southern Seaboard","Crenshaw",25.86,26.79,-0.93
"22","01043",2017,"Eastern Uplands","Cullman",20.89,27.31,-6.42
"23","01045",2017,"Southern Seaboard","Dale",29.2,33.5,-4.3
"24","01047",2017,"Southern Seaboard","Dallas",20.05,26.01,-5.96
"25","01049",2017,"Eastern Uplands","DeKalb",20.94,27.24,-6.3
"26","01051",2017,"Southern Seaboard","Elmore",29.06,33.14,-4.08
"27","01053",2017,"Southern Seaboard","Escambia",20.77,26.83,-6.06
"28","01055",2017,"Eastern Uplands","Etowah",19.94,27.68,-7.74
"29","01057",2017,"Southern Seaboard","Fayette",30.89,33.91,-3.02
"30","01059",2017,"Southern Seaboard","Franklin",21.42,25.53,-4.11
"31","01061",2017,"Southern Seaboard","Geneva",21.89,30.09,-8.2
"32","01063",2017,"Southern Seaboard","Greene",27.48,26.39,1.09
"33","01065",2017,"Southern Seaboard","Hale",25.79,22.25,3.54
"34","01067",2017,"Southern Seaboard","Henry",21.58,27.81,-6.23
