                   Item,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,,,,
  Corn grain,217.68 ,187.27 ,180.26 ,226.13 ,276.19 ,279.47 ,260.09 ,243.45 ,252.82 ,272.94 ,252.17 ,167.03 ,186.56 ,217.20 ,255.37 ,257.33 ,254.98 ,274.33 ,227.05 ,296.32 ,321.98 ,,,,
  Corn silage,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,
"    Total, gross value of production",217.68 ,187.27 ,180.26 ,226.13 ,276.19 ,279.47 ,260.09 ,243.45 ,252.82 ,272.94 ,252.17 ,167.03 ,186.56 ,217.20 ,255.37 ,257.33 ,254.98 ,274.33 ,227.05 ,296.32 ,321.98 ,,,,
  Seed,9.30 ,9.49 ,11.06 ,11.61 ,12.41 ,14.24 ,16.16 ,16.45 ,16.65 ,18.03 ,18.48 ,19.25 ,18.86 ,18.90 ,21.02,20.52 ,21.61 ,22.10 ,22.49 ,22.67,23.98,,,,
"  Fertilizer, lime and gypsum",38.97 ,35.40 ,35.35 ,34.09 ,38.73 ,48.67 ,53.41 ,51.18 ,49.62 ,52.56 ,52.65 ,40.77 ,37.50 ,45.39 ,47.21,42.58 ,44.59 ,43.16 ,43.26 ,46.07,55.85,,,,
  Chemicals,11.65 ,10.01 ,8.95 ,13.15 ,13.27 ,14.24 ,15.56 ,18.24 ,19.12 ,19.51 ,19.51 ,20.27 ,20.19 ,20.49 ,21.51,22.64 ,22.46 ,23.46 ,24.27 ,25.22,26.34,,,,
  Custom operations  1/,7.18 ,7.77 ,8.56 ,10.27 ,10.80 ,11.38 ,13.78 ,14.20 ,12.51 ,13.05 ,14.76 ,14.83 ,13.85 ,10.90 ,14.26,6.28 ,9.21 ,9.54 ,8.97 ,10.05,9.65,,,,
"  Fuel, lube, and electricity",5.76 ,6.19 ,6.81 ,8.12 ,12.53 ,17.12 ,20.17 ,18.35 ,15.96 ,14.10 ,15.75 ,9.01 ,10.60 ,10.63 ,11.88,24.00 ,18.92 ,18.29 ,18.02 ,18.96,17.92,,,,
  Repairs,6.19 ,6.14 ,6.29 ,7.39 ,8.99 ,10.25 ,11.98 ,10.75 ,10.34 ,11.12 ,11.05 ,8.10 ,8.25 ,8.10 ,8.94,9.28 ,13.31 ,14.83 ,13.95 ,16.13,15.91,,,,
  Hired labor,2.23 ,2.63 ,3.01 ,2.74 ,3.13 ,3.39 ,3.87 ,3.78 ,3.52 ,3.83 ,4.02 ,7.87 ,7.83 ,7.87 ,8.29,8.61 ,7.37 ,7.74 ,7.55 ,7.54,8.03,,,,
  Other variable cash expenses  2/,0.05 ,0.05 ,0.06 ,0.07 ,0.08 ,0.09 ,0.16 ,0.58 ,0.58 ,0.59 ,0.58 ,0.31 ,0.31 ,0.32 ,0.31,0.30 ,0.41 ,0.40 ,0.43 ,0.44,0.45,,,,
"    Total, variable cash expenses",81.33 ,77.68 ,80.09 ,87.44 ,99.94 ,119.38 ,135.09 ,133.53 ,128.30 ,132.79 ,136.80 ,120.41 ,117.39 ,122.60 ,133.42 ,134.21 ,137.88 ,139.52 ,138.94 ,147.08 ,158.13 ,,,,
  General farm overhead,14.44 ,15.55 ,16.59 ,12.35 ,14.83 ,16.60 ,15.43 ,16.20 ,15.22 ,15.37 ,10.93 ,10.42 ,10.15 ,10.81 ,10.42,12.06 ,10.39 ,10.58,8.98 ,13.49,12.46,,,,
  Taxes and insurance,4.74 ,4.96 ,5.64 ,6.12 ,6.94 ,14.55 ,14.92 ,13.93 ,13.45 ,17.00 ,17.47 ,13.81 ,14.65 ,14.59 ,14.87,14.85 ,17.98 ,18.41,18.11 ,20.68 ,20.01,,,,
