RACE,TYPE,YEAR,VALUE
American Indian,Operations,2017,39632
Asian,Operations,2017,13904
Black,Operations,2017,32052
Hawaiian,Operations,2017,2092
White,Operations,2017,1955737
More,Operations,2017,19773
American Indian,Area Operated,2017,51095994
Asian,Area Operated,2017,1831229
Black,Area Operated,2017,3862936
Hawaiian,Area Operated,2017,426068
White,Area Operated,2017,843497615
More,Area Operated,2017,6712435
American Indian,Operators,2017,44133
Asian,Operators,2017,16117
Black,Operators,2017,37568
Hawaiian,Operators,2017,1867
White,Operators,2017,2530092
More,Operators,2017,20332
Hispanic,Operators,2017,90344
American Indian,Operations,2012,37851
Asian,Operations,2012,13669
Black,Operations,2012,33371
Hawaiian,Operations,2012,1468
White,Operations,2012,2012652
More,Operations,2012,10292
American Indian,Area Operated,2012,50859898
Asian,Area Operated,2012,1453328
Black,Area Operated,2012,3645289
Hawaiian,Area Operated,2012,289640
White,Area Operated,2012,854850891
More,Area Operated,2012,3428611
American Indian,Operators,2012,36106
Asian,Operators,2012,13002
Black,Operators,2012,32759
Hawaiian,Operators,2012,1243
White,Operators,2012,1949588
More,Operators,2012,9605
Hispanic,Operators,2012,67000
American Indian,Operations,2007,34706
Asian,Operations,2007,11214
Black,Operations,2007,30599
Hawaiian,Operations,2007,1356
White,Operations,2007,2114325
More,Operations,2007,12592
American Indian,Area Operated,2007,49680678
Asian,Area Operated,2007,1389766
Black,Area Operated,2007,3182313
Hawaiian,Area Operated,2007,405006
White,Area Operated,2007,863819828
More,Area Operated,2007,3618249
American Indian,Operators,2007,33009
Asian,Operators,2007,10610
Black,Operators,2007,30002
Hawaiian,Operators,2007,1152
White,Operators,2007,2062456
More,Operators,2007,11993
Hispanic,Operators,2007,55570
