DATE,PCEPI
1/1/1959,16.074
2/1/1959,16.089
3/1/1959,16.1
4/1/1959,16.132
5/1/1959,16.14
6/1/1959,16.186
7/1/1959,16.22
8/1/1959,16.244
9/1/1959,16.286
10/1/1959,16.326
11/1/1959,16.336
12/1/1959,16.355
1/1/1960,16.346
2/1/1960,16.363
3/1/1960,16.372
4/1/1960,16.432
5/1/1960,16.449
6/1/1960,16.456
7/1/1960,16.485
8/1/1960,16.513
9/1/1960,16.523
10/1/1960,16.542
11/1/1960,16.598
12/1/1960,16.601
1/1/1961,16.604
2/1/1961,16.62
3/1/1961,16.61
4/1/1961,16.6
5/1/1961,16.609
6/1/1961,16.617
7/1/1961,16.653
8/1/1961,16.667
9/1/1961,16.686
10/1/1961,16.685
11/1/1961,16.686
12/1/1961,16.69
1/1/1962,16.721
2/1/1962,16.767
3/1/1962,16.789
4/1/1962,16.808
5/1/1962,16.818
6/1/1962,16.829
7/1/1962,16.819
8/1/1962,16.844
9/1/1962,16.927
10/1/1962,16.909
11/1/1962,16.922
12/1/1962,16.914
1/1/1963,16.956
2/1/1963,16.974
3/1/1963,16.961
4/1/1963,16.96
5/1/1963,16.987
6/1/1963,17.024
7/1/1963,17.058
8/1/1963,17.081
9/1/1963,17.078
10/1/1963,17.111
11/1/1963,17.135
12/1/1963,17.161
1/1/1964,17.197
2/1/1964,17.221
3/1/1964,17.231
4/1/1964,17.245
5/1/1964,17.246
6/1/1964,17.271
7/1/1964,17.293
8/1/1964,17.306
9/1/1964,17.333
10/1/1964,17.343
11/1/1964,17.368
12/1/1964,17.393
1/1/1965,17.412
2/1/1965,17.419
3/1/1965,17.442
4/1/1965,17.469
5/1/1965,17.508
6/1/1965,17.559
7/1/1965,17.572
8/1/1965,17.576
9/1/1965,17.584
10/1/1965,17.59
11/1/1965,17.62
12/1/1965,17.684
1/1/1966,17.704
2/1/1966,17.778
3/1/1966,17.821
4/1/1966,17.883
5/1/1966,17.905
6/1/1966,17.95
7/1/1966,17.984
8/1/1966,18.053
9/1/1966,18.11
10/1/1966,18.158
11/1/1966,18.185
12/1/1966,18.222
1/1/1967,18.224
2/1/1967,18.245
3/1/1967,18.255
4/1/1967,18.285
5/1/1967,18.32
6/1/1967,18.379
7/1/1967,18.441
8/1/1967,18.499
9/1/1967,18.555
10/1/1967,18.606
11/1/1967,18.668
12/1/1967,18.698
1/1/1968,18.784
2/1/1968,18.861
3/1/1968,18.923
4/1/1968,18.982
5/1/1968,19.052
6/1/1968,19.113
7/1/1968,19.171
8/1/1968,19.25
9/1/1968,19.317
10/1/1968,19.402
11/1/1968,19.467
12/1/1968,19.508
1/1/1969,19.584
2/1/1969,19.633
3/1/1969,19.726
4/1/1969,19.812
5/1/1969,19.892
6/1/1969,19.989
7/1/1969,20.076
8/1/1969,20.132
9/1/1969,20.216
10/1/1969,20.285
11/1/1969,20.372
12/1/1969,20.465
1/1/1970,20.539
2/1/1970,20.62
3/1/1970,20.672
4/1/1970,20.776
5/1/1970,20.842
6/1/1970,20.896
7/1/1970,20.973
8/1/1970,21.028
9/1/1970,21.122
10/1/1970,21.227
11/1/1970,21.31
12/1/1970,21.405
1/1/1971,21.45
2/1/1971,21.513
3/1/1971,21.584
4/1/1971,21.669
5/1/1971,21.759
6/1/1971,21.855
7/1/1971,21.921
8/1/1971,21.985
9/1/1971,22.018
10/1/1971,22.052
11/1/1971,22.097
12/1/1971,22.184
1/1/1972,22.275
2/1/1972,22.363
3/1/1972,22.395
4/1/1972,22.429
5/1/1972,22.478
6/1/1972,22.513
7/1/1972,22.593
8/1/1972,22.659
9/1/1972,22.76
10/1/1972,22.786
11/1/1972,22.854
12/1/1972,22.927
1/1/1973,22.996
2/1/1973,23.117
3/1/1973,23.28
4/1/1973,23.454
5/1/1973,23.569
6/1/1973,23.704
7/1/1973,23.79
8/1/1973,24.064
9/1/1973,24.16
10/1/1973,24.296
11/1/1973,24.495
12/1/1973,24.697
1/1/1974,24.934
2/1/1974,25.224
3/1/1974,25.517
4/1/1974,25.697
5/1/1974,25.95
6/1/1974,26.17
7/1/1974,26.363
8/1/1974,26.639
9/1/1974,26.916
10/1/1974,27.108
11/1/1974,27.312
12/1/1974,27.528
1/1/1975,27.698
2/1/1975,27.849
3/1/1975,27.943
4/1/1975,28.039
5/1/1975,28.15
6/1/1975,28.326
7/1/1975,28.569
8/1/1975,28.693
9/1/1975,28.835
10/1/1975,29.003
11/1/1975,29.189
12/1/1975,29.35
1/1/1976,29.462
2/1/1976,29.5
3/1/1976,29.544
4/1/1976,29.611
5/1/1976,29.752
6/1/1976,29.882
7/1/1976,30.033
8/1/1976,30.199
9/1/1976,30.369
10/1/1976,30.528
11/1/1976,30.667
12/1/1976,30.839
1/1/1977,31.017
2/1/1977,31.26
3/1/1977,31.417
4/1/1977,31.6
