"","YEAR","STATE","TYPE","TOTAL","NATIVE_AMER","BLACK","MULTI","WHITE","HISPANIC","ASIAN","PACIFIC_ISL","POC"
"1",2017,"AL","AREA OPERATED",17162672,0.771,3.652,0.607,94.126,0.763,0.079,0.003,5.874
"2",2017,"AL","OPERATIONS",83121,1.404,7.038,1.122,89.092,1.064,0.253,0.028,10.908
"3",2017,"AL","OPERATORS",118824,1.158,6.461,0.951,90.336,0.858,0.209,0.028,9.664
"4",2017,"AR","AREA OPERATED",27892523,0.6,0.891,0.962,96.463,0.881,0.203,0,3.537
"5",2017,"AR","OPERATIONS",88244,1.088,2.349,1.342,92.563,1.793,0.845,0.02,7.437
"6",2017,"AR","OPERATORS",132044,0.828,2.071,1.075,93.73,1.459,0.822,0.014,6.27
"7",2017,"AZ","AREA OPERATED",48991879,71.977,0.009,0.16,24.351,3.39,0.072,0.041,75.649
"8",2017,"AZ","OPERATIONS",40829,56.756,0.191,0.803,36.477,5.148,0.411,0.213,63.523
"9",2017,"AZ","OPERATORS",60789,55.675,0.158,0.691,38.512,4.335,0.385,0.245,61.488
"10",2017,"CA","AREA OPERATED",54837991,0.988,0.177,1.055,85.825,8.92,2.444,0.591,14.175
"11",2017,"CA","OPERATIONS",166302,1.352,0.401,1.626,78.796,12.323,5.074,0.428,21.204
"12",2017,"CA","OPERATORS",249130,1.044,0.303,1.234,81.948,10.352,4.787,0.333,18.052
"13",2017,"CO","AREA OPERATED",58309219,0.545,0.024,0.391,94.972,3.777,0.193,0.098,5.028
"14",2017,"CO","OPERATIONS",84941,0.998,0.201,1.096,90.107,6.832,0.632,0.133,9.893
"15",2017,"CO","OPERATORS",131728,0.681,0.143,0.796,92.502,5.281,0.503,0.094,7.498
"16",2017,"CT","AREA OPERATED",773013,0.202,0.059,0.164,98.39,1.012,0.172,0,1.61
"17",2017,"CT","OPERATIONS",11385,0.211,0.386,0.729,96.126,1.897,0.58,0.07,3.874
"18",2017,"CT","OPERATORS",17363,0.138,0.253,0.518,97.23,1.411,0.403,0.046,2.77
"19",2017,"DE","AREA OPERATED",1050898,0,0.169,0.075,99.226,0.368,0.163,0,0.774
"20",2017,"DE","OPERATIONS",4694,0.064,0.81,0.49,95.888,1.3,1.449,0,4.112
"21",2017,"DE","OPERATORS",7107,0.042,0.661,0.408,96.665,0.872,1.351,0,3.335
"22",2017,"FL","AREA OPERATED",18730353,0.461,0.911,0.414,91.789,5.838,0.568,0.018,8.211
"23",2017,"FL","OPERATIONS",107113,0.809,2.948,1.053,83.877,9.439,1.713,0.161,16.123
"24",2017,"FL","OPERATORS",156280,0.631,2.711,0.82,85.857,8.271,1.585,0.125,14.143
"25",2017,"GA","AREA OPERATED",19645930,0.164,1.859,0.348,96.814,0.707,0.102,0.006,3.186
"26",2017,"GA","OPERATIONS",87167,0.39,4.468,0.762,91.952,1.715,0.655,0.057,8.048
"27",2017,"GA","OPERATORS",125192,0.305,4.125,0.59,92.968,1.342,0.629,0.042,7.032
"28",2017,"IA","AREA OPERATED",51933362,0.023,0,0.052,99.226,0.653,0.044,0.001,0.774
"29",2017,"IA","OPERATIONS",173810,0.078,0.054,0.193,98.871,0.657,0.13,0.018,1.129
"30",2017,"IA","OPERATORS",260380,0.055,0.053,0.142,99.14,0.5,0.097,0.012,0.86
"31",2017,"ID","AREA OPERATED",20122766,3.139,0,0.289,92.389,3.97,0.208,0.004,7.611
"32",2017,"ID","OPERATIONS",52543,0.738,0.034,0.917,94.241,3.66,0.31,0.099,5.759
"33",2017,"ID","OPERATORS",81712,0.545,0.022,0.64,95.731,2.766,0.233,0.064,4.269
"34",2017,"IL","AREA OPERATED",45043883,0.03,0.082,0.22,98.85,0.751,0.066,0.001,1.15
"35",2017,"IL","OPERATIONS",147226,0.133,0.205,0.32,98.178,0.993,0.149,0.022,1.822
"36",2017,"IL","OPERATORS",211974,0.095,0.194,0.25,98.559,0.764,0.123,0.015,1.441
"37",2017,"IN","AREA OPERATED",25843169,0.035,0.056,0.129,98.877,0.884,0.018,0.001,1.123
"38",2017,"IN","OPERATIONS",114990,0.194,0.17,0.368,98.066,1.031,0.144,0.027,1.934
"39",2017,"IN","OPERATORS",170555,0.141,0.145,0.28,98.501,0.804,0.108,0.02,1.499
"40",2017,"KS","AREA OPERATED",80663575,0.292,0.071,0.437,98.055,1.123,0.015,0.006,1.945
"41",2017,"KS","OPERATIONS",120284,0.695,0.274,0.762,96.432,1.669,0.136,0.032,3.568
"42",2017,"KS","OPERATORS",175314,0.505,0.233,0.597,97.249,1.294,0.099,0.022,2.751
