                   Item,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
  Wheat,100.49,73.27,63.92,87.95,121.3,112.41,114.35,110.32,128.52,113.97,93.52,66.06,76.21,95.89,99.9,94.27,72.68,112.12,99.21,105.54,130.23,146.94,125.29
  Wheat straw  ,3.9,4.18,3.96,3.89,3.56,4.07,4.61,4.37,4.45,4.48,2.48,2.06,2.18,3.78,3.45,1.52,1.21,1.37,1.24,4.55,4.44,5.35,5.53
"    Total, gross value of production",104.39,77.46,67.88,91.84,124.86,116.48,118.96,114.69,132.97,118.45,96,68.12,78.39,99.67,103.35,95.79,73.89,113.49,100.45,110.09,134.67,152.29,130.82
  Seed,6.44,5.83,3.93,4,5.01,6.51,7.19,6.65,6.37,6.48,7.59,7.29,6.62,6.69,7.68,7.69,5.87,6.67,6.94,7.46,7.57,9.26,9.02
"  Fertilizer, lime, and gypsum",11.44,10.37,9.41,8.14,10.06,13.86,17.61,17.56,18.36,18.37,15.91,14.53,13.07,15.34,16.7,14.59,15.3,14.46,14.37,16.7,20.89,21.11,19.85
  Chemicals,1.19,1.3,1.14,2.12,2.08,2.23,2.41,3.16,3.27,3.19,4.26,4.06,3.82,3.82,5.02,5.45,5.73,6.15,6.35,5.69,5.86,6.23,6.32
  Custom operations  ,1.8,1.84,2.04,2.35,2.68,2.94,4.54,5.86,6.02,6.04,4.17,4.12,4.12,3.89,4.11,4.56,4.25,4.24,4.27,5.7,5.96,5.35,6.33
"  Fuel, lube, and electricity",4.02,4.04,4.45,5.06,7.64,10.62,12.33,11.77,11.06,9.54,9.93,6.74,7.56,7.37,7.96,8.72,8.96,8.81,8.9,8.55,8.47,9.71,10.2
  Repairs,5.36,4.97,5.1,5.72,6.47,7.23,7.8,7.18,7.77,7.49,6.56,6.17,6.32,6.41,6.39,6.51,6.7,7.22,7.53,11.69,12.2,13.26,13.37
  Hired labor,2.1,2.23,2.49,2.5,2.68,2.88,3,3.02,3.21,3.15,2.43,2.54,2.53,2.59,4.95,4.92,5.34,5.52,5.33,3.83,4.01,4.69,5
