,Share of US farms,2012,2013,2014,2015,2016,2017,2018,2019,2020F,2021F
All farms,100,48.3,53.7,50.9,44.2,41.8,39,35.5,38,48.5,45.2
Farm size by gross sales value,,,,,,,,,,,
"$1,000,000 or more",3.9,844.1,844.1,772.6,709.5,686.6,657.7,624.2,677.5,816.4,762.4
"$500,000 - 999,999",3.5,221.7,228.6,205.2,199.8,183.2,183.1,196.9,174.5,219.7,214.9
"$250,000 - 499,999",4.4,111,145.8,118.4,103.8,101.7,92.6,94.3,98.5,120.9,117.4
"$100,000 - 249,999",6.5,46.2,51.8,51.9,42,41.5,47.3,35.9,40.4,54,51
"Less than $100,000",81.8,-2.6,-1.1,0.9,-0.1,-0.7,-0.3,-2.4,-1.5,0.6,-0.3
Farm typology,,,,,,,,,,,
Residence farms,52.1,-1.3,0.6,1.6,0.8,0.8,0.3,-1.2,0.5,3.1,2.3
Farm businesses,47.9,108.7,119.6,121.6,106.7,102.8,81.6,76.8,78.8,97.9,91.8
Commercial farms,10.4,400.4,437.4,431.4,389.7,370,333.5,325.9,336.9,409.9,386.5
Intermediate farms,37.6,8.5,9.6,13.8,11.6,12.6,9.8,6.9,7.5,11.8,10.5
Family farms,97.6,41.9,49.3,46.9,39.5,38.4,35.2,31.9,32.6,42,39.2
